year,unique_id,buffer_pix_sum,buffer_pix_count,ring_pix_sum,ring_pix_count,buffer_area,ring_area,radius
2011,CHN42,4865,132,4801,240,78413712.2636463,78413712.26364858,5000
2012,CHN42,4801,121,4066,272,78413712.2636463,78413712.26364858,5000
2013,CHN42,5066,121,4308,272,78413712.2636463,78413712.26364858,5000
2014,CHN42,5117,121,4502,272,78413712.2636463,78413712.26364858,5000
2015,CHN42,5123,121,4496,272,78413712.2636463,78413712.26364858,5000
2016,CHN42,5091,121,4454,272,78413712.2636463,78413712.26364858,5000
2017,CHN42,5169,121,4599,272,78413712.2636463,78413712.26364858,5000
2018,CHN42,5227,121,4696,272,78413712.2636463,78413712.26364858,5000
1992,CHN8,1581,120,804,208,78413712.26364848,78413712.26364404,5000
1993,CHN8,1727,120,885,208,78413712.26364848,78413712.26364404,5000
1994,CHN8,2249,120,942,208,78413712.26364848,78413712.26364404,5000
1995,CHN8,2010,120,1022,208,78413712.26364848,78413712.26364404,5000
1996,CHN8,2446,120,1325,208,78413712.26364848,78413712.26364404,5000
1997,CHN8,2712,120,1530,208,78413712.26364848,78413712.26364404,5000
1998,CHN8,2640,120,1421,208,78413712.26364848,78413712.26364404,5000
1999,CHN8,2584,120,1439,208,78413712.26364848,78413712.26364404,5000
2000,CHN8,2637,120,1477,208,78413712.26364848,78413712.26364404,5000
2001,CHN8,3182,120,2039,208,78413712.26364848,78413712.26364404,5000
2002,CHN8,3217,120,2148,208,78413712.26364848,78413712.26364404,5000
2003,CHN8,3585,120,2429,208,78413712.26364848,78413712.26364404,5000
2004,CHN8,3536,120,2826,208,78413712.26364848,78413712.26364404,5000
2005,CHN8,3638,120,2748,208,78413712.26364848,78413712.26364404,5000
2006,CHN8,3732,120,2842,208,78413712.26364848,78413712.26364404,5000
2007,CHN8,3793,120,3173,208,78413712.26364848,78413712.26364404,5000
2008,CHN8,3881,120,3341,208,78413712.26364848,78413712.26364404,5000
2009,CHN8,3920,99,3066,221,78413712.26364848,78413712.26364404,5000
2010,CHN8,3877,99,2913,221,78413712.26364848,78413712.26364404,5000
2011,CHN8,4308,99,3450,221,78413712.26364848,78413712.26364404,5000
2012,CHN8,4113,120,3663,208,78413712.26364848,78413712.26364404,5000
2013,CHN8,4056,120,3631,208,78413712.26364848,78413712.26364404,5000
2014,CHN8,4165,120,4047,208,78413712.26364848,78413712.26364404,5000
2015,CHN8,4201,120,4130,208,78413712.26364848,78413712.26364404,5000
2016,CHN8,4199,120,4101,208,78413712.26364848,78413712.26364404,5000
2017,CHN8,4210,120,4132,208,78413712.26364848,78413712.26364404,5000
2018,CHN8,4198,120,4137,208,78413712.26364848,78413712.26364404,5000
1992,CHN62,2536,110,1964,238,78413712.26364848,78413712.26364404,5000
1993,CHN62,2569,110,2012,238,78413712.26364848,78413712.26364404,5000
1994,CHN62,2581,110,2062,238,78413712.26364848,78413712.26364404,5000
1995,CHN62,2752,110,2171,238,78413712.26364848,78413712.26364404,5000
1996,CHN62,2649,110,2091,238,78413712.26364848,78413712.26364404,5000
1997,CHN62,2943,110,2236,238,78413712.26364848,78413712.26364404,5000
1998,CHN62,3436,110,2558,238,78413712.26364848,78413712.26364404,5000
1999,CHN62,3600,110,2785,238,78413712.26364848,78413712.26364404,5000
2000,CHN62,3583,110,2744,238,78413712.26364848,78413712.26364404,5000
2001,CHN62,3980,110,3093,238,78413712.26364848,78413712.26364404,5000
2002,CHN62,3734,110,2675,238,78413712.26364848,78413712.26364404,5000
2003,CHN62,4150,110,3286,238,78413712.26364848,78413712.26364404,5000
2004,CHN62,3923,110,2936,238,78413712.26364848,78413712.26364404,5000
2005,CHN62,4099,110,3247,238,78413712.26364848,78413712.26364404,5000
2006,CHN62,4119,110,3284,238,78413712.26364848,78413712.26364404,5000
2007,CHN62,4099,110,3240,238,78413712.26364848,78413712.26364404,5000
2008,CHN62,4051,110,3106,238,78413712.26364848,78413712.26364404,5000
2009,CHN62,3930,108,2765,208,78413712.26364848,78413712.26364404,5000
2010,CHN62,3998,108,2833,208,78413712.26364848,78413712.26364404,5000
2011,CHN62,4298,108,3120,208,78413712.26364848,78413712.26364404,5000
2012,CHN62,4411,110,3625,238,78413712.26364848,78413712.26364404,5000
2013,CHN62,4464,110,3593,238,78413712.26364848,78413712.26364404,5000
2014,CHN62,4451,110,3454,238,78413712.26364848,78413712.26364404,5000
2015,CHN62,4404,110,3350,238,78413712.26364848,78413712.26364404,5000
2016,CHN62,4365,110,3225,238,78413712.26364848,78413712.26364404,5000
2017,CHN62,4319,110,3153,238,78413712.26364848,78413712.26364404,5000
2018,CHN62,4334,110,3171,238,78413712.26364848,78413712.26364404,5000
1992,DOM20,1103,132,686,240,78413712.26365,78413712.26364565,5000
1993,DOM20,1316,132,788,240,78413712.26365,78413712.26364565,5000
1994,DOM20,1353,132,855,240,78413712.26365,78413712.26364565,5000
1995,DOM20,1673,132,1045,240,78413712.26365,78413712.26364565,5000
1996,DOM20,1613,132,1068,240,78413712.26365,78413712.26364565,5000
1997,DOM20,1885,132,1155,240,78413712.26365,78413712.26364565,5000
1998,DOM20,1460,132,1111,240,78413712.26365,78413712.26364565,5000
1999,DOM20,2019,132,1392,240,78413712.26365,78413712.26364565,5000
2000,DOM20,2033,132,1529,240,78413712.26365,78413712.26364565,5000
2001,DOM20,2277,132,1734,240,78413712.26365,78413712.26364565,5000
2002,DOM20,2751,132,1688,240,78413712.26365,78413712.26364565,5000
2003,DOM20,3029,132,1774,240,78413712.26365,78413712.26364565,5000
2004,DOM20,3693,132,1954,240,78413712.26365,78413712.26364565,5000
2005,DOM20,3344,132,1984,240,78413712.26365,78413712.26364565,5000
2006,DOM20,3143,132,1862,240,78413712.26365,78413712.26364565,5000
2007,DOM20,2948,132,1814,240,78413712.26365,78413712.26364565,5000
2008,DOM20,3004,132,1671,240,78413712.26365,78413712.26364565,5000
2009,DOM20,3239,132,1587,256,78413712.26365,78413712.26364565,5000
2010,DOM20,3194,132,1671,256,78413712.26365,78413712.26364565,5000
2011,DOM20,3632,132,1829,256,78413712.26365,78413712.26364565,5000
2012,DOM20,3004,132,1968,240,78413712.26365,78413712.26364565,5000
2013,DOM20,3245,132,2050,240,78413712.26365,78413712.26364565,5000
2014,DOM20,4018,132,2354,240,78413712.26365,78413712.26364565,5000
2015,DOM20,4006,132,2457,240,78413712.26365,78413712.26364565,5000
2016,DOM20,3926,132,2444,240,78413712.26365,78413712.26364565,5000
2017,DOM20,4030,132,2585,240,78413712.26365,78413712.26364565,5000
2018,DOM20,4052,132,2626,240,78413712.26365,78413712.26364565,5000
1992,HND16,1941,144,1100,256,78413712.26364636,78413712.26364833,5000
1993,HND16,2221,144,1310,256,78413712.26364636,78413712.26364833,5000
1994,HND16,2092,144,1252,256,78413712.26364636,78413712.26364833,5000
1995,HND16,2712,144,1638,256,78413712.26364636,78413712.26364833,5000
1996,HND16,2957,144,1619,256,78413712.26364636,78413712.26364833,5000
1997,HND16,3173,144,1611,256,78413712.26364636,78413712.26364833,5000
1998,HND16,3470,144,2135,256,78413712.26364636,78413712.26364833,5000
1999,HND16,3727,144,2120,256,78413712.26364636,78413712.26364833,5000
2000,HND16,3804,144,2479,256,78413712.26364636,78413712.26364833,5000
2001,HND16,3789,144,2334,256,78413712.26364636,78413712.26364833,5000
2002,HND16,3700,144,2157,256,78413712.26364636,78413712.26364833,5000
2003,HND16,3887,144,2377,256,78413712.26364636,78413712.26364833,5000
2004,HND16,3977,144,2500,256,78413712.26364636,78413712.26364833,5000
2005,HND16,3892,144,2603,256,78413712.26364636,78413712.26364833,5000
2006,HND16,3841,144,2705,256,78413712.26364636,78413712.26364833,5000
2007,HND16,3962,144,2725,256,78413712.26364636,78413712.26364833,5000
2008,HND16,3908,144,2703,256,78413712.26364636,78413712.26364833,5000
2009,HND16,4068,132,2620,240,78413712.26364636,78413712.26364833,5000
2010,HND16,3777,132,2538,240,78413712.26364636,78413712.26364833,5000
2011,HND16,4193,132,2726,240,78413712.26364636,78413712.26364833,5000
2012,HND16,4385,144,3198,256,78413712.26364636,78413712.26364833,5000
2013,HND16,4269,144,3044,256,78413712.26364636,78413712.26364833,5000
2014,HND16,4332,144,3005,256,78413712.26364636,78413712.26364833,5000
2015,HND16,4292,144,2996,256,78413712.26364636,78413712.26364833,5000
2016,HND16,4372,144,3024,256,78413712.26364636,78413712.26364833,5000
2017,HND16,4528,144,3243,256,78413712.26364636,78413712.26364833,5000
2018,HND16,4380,144,3143,256,78413712.26364636,78413712.26364833,5000
1992,KOR81,1490,108,1929,208,78413712.26364848,78413712.26364404,5000
1993,KOR81,1456,108,1915,208,78413712.26364848,78413712.26364404,5000
1994,KOR81,1490,108,2137,208,78413712.26364848,78413712.26364404,5000
1995,KOR81,1778,108,2336,208,78413712.26364848,78413712.26364404,5000
1996,KOR81,1804,108,2371,208,78413712.26364848,78413712.26364404,5000
1997,KOR81,1916,108,2598,208,78413712.26364848,78413712.26364404,5000
1998,KOR81,2077,108,2669,208,78413712.26364848,78413712.26364404,5000
1999,KOR81,2332,108,2816,208,78413712.26364848,78413712.26364404,5000
2000,KOR81,2578,108,2957,208,78413712.26364848,78413712.26364404,5000
2001,KOR81,2871,108,3198,208,78413712.26364848,78413712.26364404,5000
2002,KOR81,3071,108,3103,208,78413712.26364848,78413712.26364404,5000
2003,KOR81,3584,108,3574,208,78413712.26364848,78413712.26364404,5000
2004,KOR81,3556,108,3243,208,78413712.26364848,78413712.26364404,5000
2005,KOR81,3813,108,3424,208,78413712.26364848,78413712.26364404,5000
2006,KOR81,3954,108,3590,208,78413712.26364848,78413712.26364404,5000
2007,KOR81,4108,108,3703,208,78413712.26364848,78413712.26364404,5000
2008,KOR81,3989,108,3658,208,78413712.26364848,78413712.26364404,5000
2009,KOR81,3807,120,3526,224,78413712.26364848,78413712.26364404,5000
2010,KOR81,3940,120,3761,224,78413712.26364848,78413712.26364404,5000
2011,KOR81,3751,120,3464,224,78413712.26364848,78413712.26364404,5000
2012,KOR81,4182,108,3855,208,78413712.26364848,78413712.26364404,5000
2013,KOR81,4217,108,3818,208,78413712.26364848,78413712.26364404,5000
2014,KOR81,3911,108,3248,208,78413712.26364848,78413712.26364404,5000
2015,KOR81,3889,108,3222,208,78413712.26364848,78413712.26364404,5000
2016,KOR81,3967,108,3313,208,78413712.26364848,78413712.26364404,5000
2017,KOR81,4095,108,3498,208,78413712.26364848,78413712.26364404,5000
2018,KOR81,4266,108,3740,208,78413712.26364848,78413712.26364404,5000
1992,KOR44,1098,108,892,208,78413712.26364848,78413712.26364404,5000
1993,KOR44,1527,108,1173,208,78413712.26364848,78413712.26364404,5000
1994,KOR44,1374,108,1173,208,78413712.26364848,78413712.26364404,5000
1995,KOR44,1727,108,1447,208,78413712.26364848,78413712.26364404,5000
1996,KOR44,2033,108,1525,208,78413712.26364848,78413712.26364404,5000
1997,KOR44,2035,108,1595,208,78413712.26364848,78413712.26364404,5000
1998,KOR44,2241,108,1610,208,78413712.26364848,78413712.26364404,5000
1999,KOR44,2011,108,1646,208,78413712.26364848,78413712.26364404,5000
2000,KOR44,1969,108,1645,208,78413712.26364848,78413712.26364404,5000
2001,KOR44,2256,108,1885,208,78413712.26364848,78413712.26364404,5000
